Tweet Time Shift,Tweet Category,Twitter User Duration,Verified User,User Tweet Count,User Followers,Friends Count,User Listed,Tweet Word Count,Sentiment Score,Parent Tweet Count,Hash Tags Count,Mentions Count,Media Count,Retweets,Likes
4,4,2395,1,1655,132667,23,305,8,1,0,2,0,1,1089,5947
4,4,5014,1,169769,31104,17056,755,17,1,1,2,1,0,3,0
2,4,4986,1,60863,15499,260,179,23,0,1,0,3,0,12,0
2,4,4420,1,71954,20731,3167,130,23,0,1,0,3,0,12,0
2,4,5125,1,62741,30142,4193,179,23,0,1,0,3,0,12,0
2,4,4929,1,78532,47020,4470,356,23,0,1,0,3,0,12,0
2,4,5006,1,94488,70670,1541,383,23,0,1,0,3,0,12,0
2,4,5017,1,68093,176526,613,291,38,1,0,7,3,1,12,18
1,4,4220,1,208087,4644367,18,6698,33,1,0,2,1,1,0,0
1,4,5341,1,61486,57703,3940,1074,15,1,0,1,0,0,0,1
3,4,4510,1,12485,59823,1534,512,21,1,1,2,1,0,6,0
3,4,3823,1,9452,36826,526,302,38,1,0,3,0,1,6,24
3,4,3800,1,13017,39812,1331,229,35,0,0,3,0,1,4,41
2,4,4789,1,64347,1935542,874,1042,18,0,1,2,1,0,3,0
1,4,4495,1,171581,112430,1144,317,16,-1,0,5,5,0,2,2
4,4,4899,1,31277,9129,4319,480,34,-1,0,1,1,1,4,12
3,4,4085,1,397872,139914,357,537,14,-1,0,4,6,0,1,1
3,4,4712,1,8509,14501,1193,103,21,1,1,0,3,0,2,0
3,4,2655,1,26474,30715,290,123,25,-1,1,2,3,1,0,4
3,4,5397,1,54034,353485,12863,5873,19,-1,1,1,2,0,9,0
2,4,1234,1,113853557,124661,0,282,1,0,0,2,1,1,0,0
4,4,4974,1,274719,1157126,674,5377,12,-1,0,1,0,1,14,163
4,4,4880,1,2730,74200,293,1202,25,1,0,1,1,1,2,13
4,4,2640,1,43368,74496,3473,403,26,-1,0,2,1,0,0,3
4,4,2395,1,1655,132667,23,305,10,0,1,1,0,0,35,288
4,4,818,1,10166,10347,6678,17,7,0,1,0,2,0,1,0
4,4,4263,1,204662,110503,16094,868,23,0,1,3,1,0,33,0
3,4,5007,1,43614,1005,542,21,27,0,0,5,2,0,0,1
2,4,2348,1,52066,1937,925,36,23,0,1,3,1,0,33,0
2,4,5027,1,49857,45938,934,1340,44,-0.333,0,4,0,0,33,94
1,4,4952,0,9790,307,291,2,43,0,1,0,1,0,0,0
1,4,1676,0,13040,1024,371,12,21,0,1,0,1,0,2,0
1,4,1174,0,5452,115,173,0,8,0,0,0,0,0,0,0
1,4,4370,0,4811,198,680,0,15,0,1,0,1,0,0,0
1,4,619,0,26486,183,105,0,15,0,1,0,0,0,0,0
1,4,1208,0,10666,1937,1537,50,21,0,1,0,1,0,11,0
